ARI,ARI
ARZ,ARI
ATL,ATL
BAL,BAL
BLT,BAL
BUF,BUF
CAR,CAR
CHI,CHI
CIN,CIN
CLE,CLE
CLV,CLE
DAL,DAL
DEN,DEN
DET,DET
GB,GB
HOU,HOU
HST,HOU
IND,IND
JAC,JAX
JAX,JAX
KC,KC
LAC,LAC
LA,LAR
LAR,LAR
LV,LV
OAK,LV
MIA,MIA
MIN,MIN
NE,NE
NO,NO
NYG,NYG
NYJ,NYJ
PHI,PHI
PIT,PIT
SD,LAC
SEA,SEA
SF,SF
SL,ARI
STL,ARI
TB,TB
TEN,TEN
WAS,WAS
